功能名,Function name,register address,Decimal,fields,type,accuracy,units,min,max,Properties,说明,Description,Confidential,Mask computation,,Support single register read,Support single register write,Register linking is supported,Register concatenation is supported,备注(Remarks),Remarks
并机控制,Parallel control,1035,,Parallel_Control,U16,,,0,2,RW,"0：禁用并机功能
1：使能AC并机功能
2：使能AC+BAT并机功能","0: Disable parallel function
1: Enables the AC parallel function
2: Enables the AC+BAT parallel function",Installers,,,,,,,写入时，固定的首地址为0x1035，长度为3，不同机型的并机功能可能不一样，要根据实际机型设置。,"When writing, the fixed first address is 0x1035 and the length is 3. The parallel function may vary from model to model and should be set according to the actual model."
,,1036,,Parallel_Master_Slave,U16,,,0,1,RW,"0：本机配置为从机
1：本机配置为主机（默认）","0: This machine is configured as slave
1: This machine is configured as a master (default)",Installers,,,,,,,,
,,1037,,Parallel_Address,U16,,,0,10,RW,本机并机地址,Local parallel address,Installers,,,,,,,,
3相4线模式电网不平衡支撑控制,3 phase 4 wire mode grid unbalance support control,1038,,UnbalancedSupport_Control,U16,,,0,1,RW,"3相4线模式电网不平衡支撑控制寄存器
0：禁用不平衡支撑功能（默认）
1：使能不平衡支撑功能","3 phase 4 wire mode grid imbalance support control register
0: Disable the unbalance support function (default)
1: enables the unbalance support function",Installers,,,,,,,写入时，固定的首地址为0x1038，长度为1,"When writing, the fixed first address is 0x1038 and the length is 1"
电量倍率,Power multiplier,1039,,PV_Generation_Ratio,U16,0.001,p.u.,800,3600,RW,发电量倍率。默认值1000,Power generation multiplier. Default value 1000,Installers,,,,,,,暂未使用，可读取，但数据无意义,"Not in use, can be read, but data is meaningless"
,,103A,,Energy_Purchase_Ratio,U16,0.001,p.u.,800,1500,RW,买电量倍率。默认值1000,Buy power multiplier. Default value 1000,Installers,,,,,,,,
,,103B,,Energy_Selling_Ratio,U16,0.001,p.u.,800,1500,RW,卖电量倍率。默认值1000,Sell power multiplier. Default value 1000,Installers,,,,,,,,
,,103C,,Bat_Charge_Ratio,U16,0.001,p.u.,800,1500,RW,充电量倍率。默认值1000,Charge amount multiplier. Default 1000,Installers,,,,,,,,
,,103D,,Bat_Discharge_Ratio,U16,0.001,p.u.,800,1500,RW,放电量倍率。默认值1000,Discharge volume multiplier. Default value 1000,Installers,,,,,,,,
逻辑接口控制,Logic interface control,103E,,LogicInterface_Control,U16,,,0,1,RW,"逻辑接口控制寄存器
0：禁用
1：使能","Logical Interface Control Register
0: Disable
1: enable",Installers,,,,,,,写入时，固定的首地址为0x103E，长度为1,"When writing, the fixed first address is 0x103E, length 1"
,,103F,,,,,,,,,预留,Reserved,,,,,,,,,
,,1040 -- 1043,,AddressMask_Config_Basic2,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to the description of address 0x0040",End-users,00000000,0000000F,,,,,用于区分哪些地址有效，哪些地址无效，主要作用就是不同机型使用的寄存器不同，通过掩码做区分。此块区域支持任意读取。,It is used to distinguish which addresses are valid and which are not. The main purpose is to distinguish between different registers used by different models by means of a mask. This area can be read at will.
电池参数配置,Battery configuration,1044,,BatConfig_ID,U16,,,0,7,RW,"电池序号。
该寄存器所指定的序号，与逆变器的实际的电池输入接口进行对应。
成功写入该寄存器后，电池参数将更新为所写入序号对应的参数。","Battery serial number.
The serial number specified in this register corresponds to the actual battery input interface of the inverter.
After a successful write to this register, the battery parameters will be updated to the parameters corresponding to the written serial number.",End-users,,,,,,,"当电池不为铅酸电池时，铅酸电池的默认参数无意义。
不同电池类型的参数有不同的限制且有些参数无法修改，使用默认值，具体参考电池说明文件

写入时，固定的首地址为0x1044，长度为1到23的任意值","The default parameters for lead-acid batteries are meaningless when the battery is not a lead-acid battery.
Different battery types have different limits and some parameters cannot be modified, use the default values, refer to the battery documentation for details

When writing in, the fixed first address is 0x1044 and the length is any value from 1 to 23"
,,1045,,BatConfig_Address,U16,,,0,99,RW,"电池地址。
如果系统中允许接入多组电池，则该寄存器用于标记对应电池序号的物理接口的电池地址。","Battery Address.
If multiple batteries are allowed to be accessed in the system, this register is used to mark the battery address of the physical interface corresponding to the battery serial number.",End-users,,,,,,,,
,,1046,,BatConfig_Potocol,U16,,,0,65535,RW,"电池参数-通讯协议
0：首航内置BMS/DEFAULT
1：派能协议/PYLON
2：首航协议/GENERAL
3：AMASS
4：LG
5：Alpha.ESS
6：CATL
7：Weco
8：Fronus
9：EMS
10：Nilar
11：BTS 5K
12：动为","Battery parameters - communication protocol
0: First Flight built-in BMS/DEFAULT
1: Pie Energy protocol/PYLON
2: First flight protocol/GENERAL
3: AMASS
4: LG
5: Alpha.ESS
6: CATL
7: Weco
8: Fronus
9: EMS
10：Nilar
11: BTS 5K
12: Move for""",End-users,,,,,,,,
,,1047,,BatConfig_Voltage_Over,U16,0.1,V,0,65535,RW,电池参数-过压保护值,Battery parameters - overvoltage protection value,Installers,,,,,,,,
,,1048,,BatConfig_Voltage_Charge,U16,0.1,V,0,65535,RW,电池参数-充电电压,Battery parameters - charging voltage,Installers,,,,,,,,
,,1049,,BatConfig_Voltage_Lack,U16,0.1,V,0,65535,RW,"电池参数-欠压保护电压
铅酸电池可见","Battery parameters - undervoltage protection voltage
Lead-acid batteries visible",Installers,,,,,,,,
,,104A,,BatConfig_Voltage_Discharge_Stop,U16,0.1,V,0,65535,RW,电池参数-最低放电电压,Battery parameters - minimum discharge voltage,Installers,,,,,,,,
,,104B,,BatConfig_Current_Charge_Limit,U16,0.01,A,0,65535,RW,电池参数-最大充电电流限制,Battery parameters - Maximum charge current limit,End-users,,,,,,,,
,,104C,,BatConfig_Current_Discharge_Limit,U16,0.01,A,0,65535,RW,电池参数-最大放电电流限制,Battery parameters - maximum discharge current limit,End-users,,,,,,,,
,,104D,,BatConfig_Depth_of_Discharge,U16,1,%,1,90,RW,"DOD指示电网正常时的最大放电量，当SOC<1-DOD时逆变器停止放电，逆变器也会依据其他条件停止放电；
DOD<=EOD","DOD indicates the maximum discharge when the grid is normal, the inverter stops discharging when SOC < 1 - DOD, the inverter also stops discharging depending on other conditions;
DOD<=EOD",End-users,,,,,,,,
,,104E,,BatConfig_End_of_Discharge,U16,1,%,1,90,RW,EOD指示离网最大放电量，当SOC<1-EOD时逆变器停止放电，逆变器也会依据其他条件停止放电,"EOD indicates the maximum off-grid discharge, the inverter stops discharging when SOC<1-EOD, the inverter will also stop discharging according to other conditions",End-users,,,,,,,,
,,104F,,BatConfig_Capacity,U16,1,Ah,1,65535,RW,电池参数-电池容量（默认50）,Battery parameters - battery capacity (default 50),End-users,,,,,,,,
,,1050,,BatConfig_Voltage_Nominal,U16,0.1,V,0,65535,RW,电池参数-额定电池电压（默认0）,Battery parameters - rated battery voltage (default 0),End-users,,,,,,,,
,,1051,,BatConfig_Cell_Type,U16,1,,0,6,RW,"电池参数-电芯类型；
0：铅酸（自定义）
1：磷酸铁锂
2：三元
3：钛酸锂
4：AGM
5：Gel
6：Flooded","Battery parameters - cell type;
0: Lead acid (custom)
1: Lithium iron phosphate
2: Ternary
3: Lithium titanate
4: AGM
5: Gel
6: Flooded",End-users,,,,,,,,
,,1052,,BatConfig_EPS_Buffer,U16,1,%,5,100,RW,"电池参数-离网恢复放电回滞；
EPS_Buffer不大于EOD","Battery parameters - off-grid recovery discharge hysteresis;
EPS_Buffer not greater than EOD",End-users,,,,,,,,
,,1053,,BatConfig_Control,U16,,,,,RW,"电池参数写入控制；
写入值为1时，电池参数影子寄存器中的值更新到系统电池参数配置中；
写入值为2时，电池参数影子寄存器中的值更新为BatConfig_Potocol的默认值；
读取时，返回上次写入操作的状态：
0x0000：成功
0x0001：正在操作
0xFFFB：操作失败，控制器拒绝响应（可能控制器正忙或配置错误）
0xFFFC：操作失败，控制器无应答
0xFFFD：操作失败，当前功能被禁止
0xFFFE：操作失败，参数存储失败
0xFFFF：操作失败，输入参数有误","Battery parameter write control;
A write value of 1 updates the value in the battery parameter shadow register to the system battery parameter configuration;
a write value of 2 updates the value in the battery parameter shadow register to the default value of BatConfig_Potocol;
On read, the status of the last write operation is returned:
0x0000: successful
0x0001: operation in progress
0xFFFB: operation failed, controller refused to respond (possibly controller is busy or misconfigured)
0xFFFC: operation failed, no response from the controller
0xFFFD: operation failed, current function is disabled
0xFFFE: operation failed, parameter storage failed
0xFFFF: operation failed, wrong input parameter",End-users,,,,,,,,
,,1054,,BatConfig_Address2,U16,,,0,99,RW,"电池地址2。
如果系统中允许接入多组电池，则该寄存器用于标记对应电池序号的物理接口的电池地址。","Battery address 2.
If multiple batteries are allowed to be accessed in the system, this register is used to mark the battery address of the physical interface corresponding to the battery serial number.",End-users,,,,,,,,
,,1055,,BatConfig_Address3,U16,,,0,99,RW,"电池地址3。
如果系统中允许接入多组电池，则该寄存器用于标记对应电池序号的物理接口的电池地址。","Battery address 3.
If multiple batteries are allowed to be accessed in the system, this register is used to mark the battery address of the physical interface corresponding to the battery serial number.",End-users,,,,,,,,
,,1056,,BatConfig_Address4,U16,,,0,99,RW,"电池地址4。
如果系统中允许接入多组电池，则该寄存器用于标记对应电池序号的物理接口的电池地址。","Battery Address 4.
If multiple batteries are allowed to be accessed in the system, this register is used to mark the battery address of the physical interface corresponding to the battery serial number.",End-users,,,,,,,,
,,1057,,BatConfig_TEMPCO,I16,0.1,mV/Cell,-60,0,RW,电池参数-铅酸电池温度补偿系数。,Battery Parameters-Lead Acid Battery Temperature Compensation Factor.,End-users,,,,,,,,
,,1058,,BatConfig_Voltage_Recovery_Buffer,U16,0.1,V,,,RW,"电池参数-铅酸电池恢复放电电压增量。
如：“电池电压<最低放电电压”时停止放电；
“电池电压>最低放电电压+恢复放电电压增量”时恢复放电。","Battery parameters-Lead acid battery recovery discharge voltage increment.
E.g. Battery voltage < minimum discharge voltage"" to stop discharging;",End-users,,,,,,,,
,,1059,,BatConfig_Control_Bits,U16,,,,,RW,"电池参数-功能控制位
Bit0：SOC控制禁用（0：使用SOC；1：禁用SOC）","Battery Parameters - Function Control Bits
Bit0: SOC control disabled (0: use SOC; 1: disable SOC)",End-users,,,,,,,,
,,105A,,BatConfig_Voltage_Float,U16,0.1,V,,,RW,电池参数-铅酸电池浮充电压,Battery parameters - lead-acid battery float voltage,,,,,,,,,
,,105B -- 105F,,,,,,,,,预留,Reserved,,,,,,,,,
PCC功率采集设备配置,PCC power harvesting equipment configuration,1060,,PCCSampleMode,U16,,,0,2,RW,"PCC功率采集设备配置
0：不使用
1：电表
2：CT
3：ARPC
4：采集器","PCC power harvesting device configuration
0: not used
1: Power meter
2: CT
3: ARPC
4: Collector",End-users,,,,,,,,
谐振检测灵敏度,Resonance detection sensitivity,1061,,Resonance_Sensitivity,U16,,,1,100,RW,谐振检测灵敏度,Resonance detection sensitivity,End-users,,,,,,,,
CT变比设置,CT ratio setting,1062,,CT_rate,U16,,,,,RW,CT变比设置,CT ratio setting,,,,,,,,写入时，固定的首地址为0x1062，长度为1,Fixed first address of 0x1062 and length 1 when writing in
硬防逆流开关,Hard backflow prevention switch,1063,,Hard_Reflux_Config,U16,,,,,RW,硬防逆流开关：0禁用/1使用,Hard anti-backflow switch: 0 disabled / 1 used,,,,,,,,不使用(仅对于三相储能机型),Not used (only for 3-phase energy storage models)
干/湿接点控制,Dry/wet contact control,1064,,Dry_Contact,U16,,,0,3,RW,"干接点控制
0：禁用干接点；
1：发电机模式；
2：继电器模式1（离网输出高，其余为低）；
3：继电器模式2（离网输出低，其余为高）；","Dry contact control
0: disable dry contact;
1: generator mode;
2: relay mode 1 (off-grid output high, rest low);
3: relay mode 2 (off-grid output low, rest high);",,,,,,,,写入时，固定的首地址为0x1064，长度为1,"On write, fixed first address 0x1064, length 1"
,,1065,,Wet_Contact,U16,,,0,,RW,"湿接点控制（预留）
0：禁用湿接点","Wet contact control (reserved)
0: wet contact disabled",,,,,,,,暂未使用，可读取,"Not used at the moment, readable"
PV支路,PV branch circuit,1066 ,,pv_branch_current_limit,U16,0.1,A,0,65535,RW,PV支路过流保护,PV branch overcurrent protection,,,,,,,,,
,,1067 -- 107F,,,,,,,,,预留,Reserved,,,,,,,,,
,,1080 -- 1083,,AddressMask_Config_Basic3,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for 64 register address words starting at this address.
Refer to description of address 0x0040",Installers,00000000,0000000F,,,,,用于区分哪些地址有效，哪些地址无效，主要作用就是不同机型使用的寄存器不同，通过掩码做区分。此块区域支持任意读取。,Used to distinguish which addresses are valid and which are not. The main purpose is to distinguish between different registers used by different models by means of a mask. This area can be read at will.
电弧检测参数配置,Arc detection parameter configuration,1084,,ArcingAlarmEnable,U16,,,1,,RW,使能电弧检测功能,Enables arc detection function,Installers,,,,,,,暂未使用，可读取,"Not in use yet, readable"
,,1085,,PeakToPeakSet,U16,1,,0x64,,RW,峰峰值设定,Peak-to-peak setting,Installers,,,,,,,,
,,1086,,VarianceSet,U16,1,,0x95,,RW,方差设定,Variance setting,Installers,,,,,,,,
,,1087,,HarmonicEnergySet,U16,1,,0x01,,RW,谐波能量设定,Harmonic energy setting,Installers,,,,,,,,
,,1088,,AmplitudeVarianceSet,U16,1,,0x01,,RW,幅值方差设定,Magnitude variance setting,Installers,,,,,,,,
,,1089,,TimeDomWeiSet,U16,1,,0x01,,RW,时域权重设定,Time domain weighting setting,Installers,,,,,,,,
,,108A,,FreDomWeiSet,U16,1,,0x05,,RW,频域权重设定,Frequency weight setting,Installers,,,,,,,,
,,108B,,ArcDetectSensitivity,U16,1,,0x14,,RW,电弧检测灵敏度,Arc detection sensitivity,Installers,,,,,,,,
,,108C,,ArcAlarmShutdownThreshold,U16,1,,0x05,,RW,电弧报警计数关机阀值,Arc Alarm Count Shutdown Threshold,Installers,,,,,,,,
,,108D,,ArcSelfCheckCommand,U16,,,0x01,,RW,"写 1表示开始自检（自检所有通道）。
自检结束后自动清零。","Write 1 to start self-test (self-test all channels).
Auto-zero at the end of the self-test.",Installers,,,,,,,,
,,108E,,ArcingAlarmClear,U16,1,,0x1234,0x1234,RW,写入 0x1234 清除电弧报警(所有通道),Write 0x1234 Clear Arc Alarm (all channels),Installers,,,,,,,,
,,108F,,ArcAlarmCnt,U16,1,,,,RW,电弧报警计数,Arc alarm count,,,,,,,,,
,,1090,,AfciResult,U16,1,,,,R,握手结果,Handshake result,,,,,,,,,
,,1091,,SelfCheckResult,U16,,,,,R,"Bit0—通道1自检结果（0自检成功；1自检失败或没有自检）
Bit1—通道2,Bit2—通道3,Bit3—通道4,Bit4—通道5,Bit5—通道6,
","Bit0-Channel 1 self-test result (0 self-test success; 1 self-test failure or no self-test)
Bit1-Channel 2,Bit2-Channel 3,Bit3-Channel 4,Bit4-Channel 5,Bit5-Channel 6.
",,,,,,,,,
,,1092,,SelfCheckState,U16,,,,,R,"通道自检状态
0：没有自检
1：自检中
2：自检完成
","Channel self-test status
0: no self-test
1: Self-test in progress
2: Self-test complete
",,,,,,,,,
,,1093 -- 109F,,,,,,,,,预留,Reserved,,,,,,,,,
PLC配置,PLC configuration,10A0,,PLC_Enable_Setting,U16,,,,,RW,PLC设置运行位，为0不允许，为1允许,"PLC set operation bit, for 0 not allowed, for 1 allowed",,,,,,,,暂未使用，可读取,"Not used yet, readable"
,,10A1,,PLC_Com_Property,U16,NULL,NULL,0,,RW,bit0-bot1:0~1对应 1/1.5                     bit2~bit4:0~7对应NONE/odd/EVEN三种校验方式                                                bit5~bit7 0~3 对应8/9l两种数据位长度   bit8~15  0~7 对应4800/9600/19200/38400/115200    ,bit0-bot1:0~1 corresponds to 1/1.5 bit2~bit4:0~7 corresponds to NONE/odd/EVEN three kinds of checksum bit5~bit7 0~3 corresponds to 8/9l two kinds of data bit length bit8~15 0~7 corresponds to 4800/9600/19200/38400/115200    ,End-users,,,,,,,,
,,10A2 -- 10A4,,,,,,,,,预留,Reserved,,,,,,,,,
蓝牙配置,Bluetooth configuration,10A5,,BLE_Enable_Setting,U16,NULL,NULL,0,1,RW,BLE蓝牙设置运行位，为0不允许，为1允许,"BLE Bluetooth setting operation bit, 0 is not allowed, 1 is allowed",,,,,,,,写入时，固定的首地址为0x10A5，长度为1,Write with a fixed first address of 0x10A5 and a length of 1
,,10A6,,BLE_Com_Property,U16,NULL,NULL,0,65535,RW,"bit0-bot1:0~1对应 1/1.5
bit2~bit4:0~7对应NONE/odd/EVEN三种校验方式
bit5~bit7 0~1 对应8/9l两种数据位长度
bit8~15  0~7 对应4800/9600/19200/38400/115200    ","bit0-bot1:0~1 corresponds to 1/1.5
bit2~bit4:0~7 corresponds to NONE/odd/EVEN three kinds of checksum
bit5~bit7 0~1 corresponds to 8/9l two kinds of data bit length
bit8~15 0~7 corresponds to 4800/9600/19200/38400/115200 ",,,,,,,,暂未使用，可读取,"Not used, readable"
,,10A7 -- 10AF,,,,,,,,,预留,Reserved,,,,,,,,,
PID参数配置,PID parameter configuration,10B0,,PID_Auto_running_enable,U16,,,0,1,RW,"PID启动自动运行。
0表示禁用；1表示使能。","PID start auto-run.
0 means disable; 1 means enable.",End-users,,,,,,,暂未使用，可读取,"Not used, readable"
,,10B1,,PID_Working_Start_Time,BCD16,1,Minute,0,2359,RW,"PID工作开始时间(BCD码)。
例如：最小值0x0000表示00:00；
最大值0x2359表示23:59。","PID operation start time (BCD code).
For example: minimum value 0x0000 for 00:00;
Maximum value 0x2359 indicates 23:59.",End-users,,,,,,,,
,,10B2,,PID_Working_Hours,U16,1,Minute,0,65535,RW,PID工作时长。,PID operating duration.,End-users,,,,,,,,
,,10B3,,PID_Working_PV_Threshold,U16,0.1,V,0,65535,RW,"PID启动PV值门限。
当PV电压低于门限值时才允许PID启动。","PID start PV value threshold.
PID start is only allowed when the PV voltage is below the threshold value.",End-users,,,,,,,,
,,10B4,,PID_Break_Restart_Delay,U16,1,Minute,0,65535,RW,PID故障关闭后重启等待时间。,Restart wait time after PID fault shutdown.,End-users,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
4.2Remote control(0x1100-0x12FF),,,,,,,,,,,,,,,,,,,,,
,,1100 -- 1103,,AddressMask_Config_Remote1,U64,,,,,R,"本地址开始的64个寄存器地址字的掩码区。
参看地址0x0040的说明","Mask area for the 64 register address words starting at this address.
Refer to the description of address 0x0040",End-users,00000000,0000000F,,,,,用于区分哪些地址有效，哪些地址无效，主要作用就是不同机型使用的寄存器不同，通过掩码做区分。此块区域支持任意读取。,It is used to distinguish which addresses are valid and which are not. The main function is that different models use different registers and are distinguished by a mask. This area supports arbitrary reads.
远程开关机,Remote switch on/off,1104,,Remote_On_Off_Control,U16,,,0,1,RW,"远程开关机。
0x0000：关机
0x0001：开机","Remote power on/off.
0x0000: Power off
0x0001: power on",End-users,,,,,,,写入时，固定的首地址为0x10A5，长度为1,"When writing, the first address is fixed at 0x10A5 and the length is 1."
功率控制,Power control,1105,,Power_Control,U16,,,,,RWV,"功率控制；
Bit0：有功使能位
Bit1：无功使能位
Bit2：无功模式选择位（0：Reactive_Power；1：Power_Factor）
Bit3：SVG使能位
Bit4：SVG无功模式选择位（0：Fixed_Reactive_Power；1：Reactive_Power）","Power control;
Bit0: active enable bit
Bit1: Reactive power enable bit
Bit2: Reactive mode selection bit (0: Reactive_Power; 1: Power_Factor)
Bit3: SVG enable bit
Bit4: SVG reactive mode selection bit (0: Fixed_Reactive_Power; 1: Reactive_Power)",End-users,,,,,,,写入时，固定的首地址为此范围内任意地址，长度为范围内长度,"When writing, the first address is fixed to any address within this range, and the length is the length of the range"
,,1106,,Active_Power_Export_Limit,U16,0.1,%,0,1000,RWV,输出最大有功功率百分比,Output maximum active power percentage,End-users,,,,,,,,
,,1107,,Active_Power_Import_Limit,U16,0.1,%,0,1000,RWV,输入最大有功功率百分比,Input maximum active power percentage,End-users,,,,,,,,
,,1108,,Reactive_Power_Setting,I16,0.1,%,-1000,1000,RWV,"无功功率百分比。
注意：最大无功功率受具体机型限制。","Percentage of reactive power.
Note: The maximum reactive power is limited by the specific model.",End-users,,,,,,,,
,,1109,,Power_Factor_Setting,I16,0.01,p.u.,-100,100,RWV,"功率因数。
注意：最低功率因数受具体机型限制。","Power Factor.
Note: The minimum power factor is limited by the specific model.",End-users,,,,,,,,
,,110A,,Active_Power_Limit_Speed,U16,1,%,1,65535,RWV,有功功率限制变化速率,Active power limit change rate,End-users,,,,,,,,
,,110B,,Reactive_Power_Response_Time,U16,0.1,second,0,65535,RWV,无功功率设置响应时间,Reactive power setting response time,End-users,,,,,,,,
,,110C,,SVG_Fixed_Reactive_Power_Setting,I16,0.1,kVar,-32768,32767,RWV,SVG模式下固定无功功率大小,Fixed reactive power magnitude in SVG mode,End-users,,,,,,,暂未使用，可读取,"Not used, readable"
,,110D -- 110F,,,,,,,,,预留,Reserved,,,,,,,,,
储能工作模式设置,Energy storage operating mode setting,1110,,Energy_Storage_Mode_Control,U16,,,0,4,RW,"储能工作模式设置；
0：自发自用模式
1：分时电价模式
2：定时充放模式
3：被动模式
4：削峰模式
5：离网模式
6：发电机模式
用于更改工作模式。","Energy storage operating mode setting;
0: Self-generation mode
1: Time-sharing tariff mode
2: Timed charging and discharging mode
3: Passive mode
4: Peak-shaving mode
5: Off-grid mode
6: Generator mode
For changing the operating mode.",End-users,,,,,,,写入时，固定的首地址为0x1110，长度为1,"On write, the fixed first address is 0x1110 and the length is 1"
定时充放,Timed charging and discharging,1111,,Timing_ID,U16,,,0,3,RW,"定时充放-规则序号；
序号越小，优先级越高。
成功写入该寄存器后，定时充放参数将更新为所写入序号对应的参数。","Timed charging and discharging - rule sequence number;
The lower the serial number, the higher the priority.
When this register is successfully written, the timed charging parameters will be updated to the parameters corresponding to the serial number written.",End-users,,,,,,,"写入时，固定的首地址为0x1111，长度为1或者15
长度为1时，只设置模式，不设置模式的参数。
长度为15时，设置模式、设置参数以及保存参数到EEPROM","When written, the fixed first address is 0x1111 and the length is 1 or 15
With a length of 1, only the mode is set, no parameters of the mode are set.
With a length of 15, the mode is set, the parameters are set and the parameters are saved to the EEPROM"
,,1112,,Timing_On_Off_Control,U16,,,0,1,RW,"定时充放-使能控制；
Bit0:充电使能
Bit1：放电使能","Timed charge/discharge-enable control;
Bit0:Charge enable
Bit1: Discharge enable",End-users,,,,,,,,
,,1113,,Timing_Charge_Start,U16,"1
1","小时
分钟","0
0","23
59",RW,"高字节。充电开始小时
低字节。充电开始分钟","High byte. Charging start hour
Low byte. Charge start minutes",End-users,,,,,,,,
,,1114,,Timing_Charge_End,U16,"1
1","小时
分钟","0
0","23
59",RW,"高字节。充电结束小时
低字节。充电结束分钟","High byte. End of charge hours
Low byte. End of charge minutes",End-users,,,,,,,,
,,1115,,Timing_Discharge_Start,U16,"1
1","小时
分钟","0
0","23
59",RW,"高字节。放电开始小时
低字节。放电开始分钟","High byte. Discharge start hours
Low byte. Discharge start minutes",End-users,,,,,,,,
,,1116,,Timing_Discharge_End,U16,"1
1","小时
分钟","0
0","23
59",RW,"高字节。放电结束小时
低字节。放电结束分钟","High byte. End of discharge hours
Low byte. End of discharge minutes",End-users,,,,,,,,
,,1117,,Timing_Power_Charge,U32,1,W,1,4294967296 ,RW,定时充放-充电功率,Timed charging and discharging - charging power,End-users,,,,,,,,
,,1118,,,,,,,,,,,End-users,,,,,,,,
,,1119,,Timing_Power_Discharge,U32,1,W,1,4294967296 ,RW,定时充放-放电功率,Timed charging and discharging - Discharge power,End-users,,,,,,,,
,,111A,,,,,,,,,,,End-users,,,,,,,,
,,111B -- 111E,,Timing_Rsvd1 -- 4,,,,,,,定时充放-预留1-4（4个）,Timed charge/discharge-reserve 1-4 (4),End-users,,,,,,,,
,,111F,,Timing_Control,U16,,,1,1,RW,"定时充放写入控制；
写入值为1时，定时充放影子寄存器中的值更新到系统定时充放配置中；
读取时，返回上次写入操作的状态：
0x0000：成功
0x0001：正在操作
0xFFFB：操作失败，控制器拒绝响应（可能控制器正忙或配置错误）
0xFFFC：操作失败，控制器无应答
0xFFFD：操作失败，当前功能被禁止
0xFFFE：操作失败，参数存储失败
0xFFFF：操作失败，输入参数有误","Timed charge and discharge write control;
on a write value of 1, the value in the timed-charge shadow register is updated to the system timed-charge configuration
On a read, the status of the last write operation is returned:
0x0000: successful
0x0001: operation in progress
0xFFFB: operation failed, controller refuses to respond (possibly controller is busy or configured incorrectly)
0xFFFC: operation failed, no response from the controller
0xFFFD: operation failed, current function is disabled
0xFFFE: operation failed, parameter storage failed
0xFFFF: operation failed, wrong input parameters",End-users,,,,,,,,
分时电价,Time share tariff,1120,,TOU_ID,U16,,,0,7,RW,"分时电价-规则序号；
序号越小，优先级越高。
成功写入该寄存器后，分时电价参数将更新为所写入序号对应的参数。","Time-sharing tariff - rule serial number;
The smaller the serial number, the higher the priority.
After a successful write to this register, the time-of-use tariff parameter will be updated to the parameter corresponding to the serial number written.",End-users,,,,,,,"写入时，固定的首地址为0x1120，长度为1或者16

长度为1时，只设置模式，不设置模式的参数。
长度为16时，设置模式、设置参数以及保存参数到EEPROM","When written, the fixed first address is 0x1120 and the length is 1 or 16

With a length of 1, only the mode is set, no parameters of the mode are set.
With a length of 16, the mode is set, the parameters are set and the parameters are saved to the EEPROM"
,,1121,,TOU_On_Off_Control,U16,,,0,1,RW,"分时电价-规则使能；
0：禁用
1：使能","Time-sharing tariff-rule enable;
0: disabled
1: enable",End-users,,,,,,,,
,,1122,,TOU_Charge_Start,U16,"1
1","小时
分钟","0
0","23
59",RW,"高字节。充电开始小时
低字节。充电开始分钟","High byte. Charging start hour
Low byte. Charge start minutes",End-users,,,,,,,,
,,1123,,TOU_Charge_End,U16,"1
1","小时
分钟","0
0","23
59",RW,"高字节。充电结束小时
低字节。充电结束分钟","High byte. End of charge hours
Low byte. Charge end minutes",End-users,,,,,,,,
,,1124,,TOU_Charge_Target_SOC,U16,1,%,30,100,RW,"分时电价-强制充电截止SOC；
剩余电量百分比，当电池当前SOC达到该寄存器值时，强制充电结束并进入自发自用模式，同时禁止放电。","Timeshare-Forced charge cut-off SOC;
The percentage of power remaining, when the battery's current SOC reaches this register value, the forced charge ends and enters self-generating mode, while discharging is disabled.",End-users,,,,,,,,
,,1125,,TOU_Charge_Power,U32,1,W,1,4294967296 ,RW,"分时电价-强制充电功率；
设置值不能超过机器额定功率。","Time-of-charge tariff - forced charging power;
The set value must not exceed the machine's rated power.",End-users,,,,,,,,
,,1126,,,,,,,,,,,End-users,,,,,,,,
,,1127,,TOU_Executed_Date_Start,U16,"1
1","月
日","1
1","12
31",RW,"高字节。规则开始生效月份
低字节。规则开始生效日期","High Byte. Month in which the rule comes into effect
Low byte. Date when the rule became effective",End-users,,,,,,,,
,,1128,,TOU_Executed_Date_End,U16,"1
1","月
日","1
1","12
31",RW,"高字节。规则停止生效月份
低字节。规则停止生效日期","High byte. Month the rule ceased to be in effect
Low byte. The date the rule ceased to be effective",End-users,,,,,,,,
,,1129,,TOU_Executed_Day_of_Week,U16,,,,,RW,"分时电价-规则生效星期；
该寄存器以位域表示，位为0表示无效星期，位为1表示有效星期
Bit0：星期一
Bit1：星期二
Bit2：星期三
Bit3：星期四
Bit4：星期五
Bit5：星期六
Bit6：星期日","Timeshift Tariff - Week in which the rule takes effect;
This register is represented as a bit field, with a bit 0 indicating an invalid week and a bit 1 indicating a valid week
Bit0: Monday
Bit1: Tuesday
Bit2: Wednesday
Bit3: Thursday
Bit4: Friday
Bit5: Saturday
Bit6: Sunday",End-users,,,,,,,,
,,112A -- 112E,,TOU_Rsvd1 -- 5,,,,,,,分时电价-预留1-5,Timesharing tariff - reserved 1-5,End-users,,,,,,,,
